   3017 
    137 IPR001680	WD40 repeat
      4 IPR018097	EGF-like calcium-binding, conserved site
      4 IPR017850	Alkaline-phosphatase-like, core domain superfamily
      4 IPR016158	Cullin homology domain
      4 IPR016130	Protein-tyrosine phosphatase, active site
      4 IPR015919	Cadherin-like superfamily
      4 IPR015915	Kelch-type beta propeller
      4 IPR013761	Sterile alpha motif/pointed domain superfamily
      4 IPR013026	Tetratricopeptide repeat-containing domain
      4 IPR011626	Alpha-macroglobulin-like, TED domain
      4 IPR008952	Tetraspanin, EC2 domain superfamily
      4 IPR008936	Rho GTPase activation protein
      4 IPR008859	Thrombospondin, C-terminal
      4 IPR006627	TDU repeat
      4 IPR006214	Bax inhibitor 1-related
      4 IPR004092	Mbt repeat
      4 IPR003959	ATPase, AAA-type, core
      4 IPR003954	RNA recognition motif domain, eukaryote
      4 IPR003938	Potassium channel, voltage-dependent, EAG/ELK/ERG
      4 IPR003347	JmjC domain
      4 IPR002423	Chaperonin Cpn60/TCP-1 family
      4 IPR002208	SecY/SEC61-alpha family
      4 IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
      4 IPR001895	Ras guanine-nucleotide exchange factors catalytic domain
      4 IPR001849	Pleckstrin homology domain
      4 IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
      4 IPR001375	Peptidase S9, prolyl oligopeptidase, catalytic domain
      4 IPR001282	Glucose-6-phosphate dehydrogenase
      4 IPR001163	LSM domain, eukaryotic/archaea-type
      4 IPR001134	Netrin domain
      4 IPR001007	VWFC domain
      4 IPR000961	AGC-kinase, C-terminal
      4 IPR000960	Flavin monooxygenase FMO
      4 IPR000832	GPCR, family 2, secretin-like
      4 IPR000749	ATP:guanido phosphotransferase
      4 IPR000639	Epoxide hydrolase-like
      4 IPR000539	Frizzled/Smoothened, transmembrane domain
      4 IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain
      4 IPR000301	Tetraspanin
      4 IPR000219	Dbl homology (DH) domain
      3 IPR043204	Basigin-like
      3 IPR038765	Papain-like cysteine peptidase superfamily
      3 IPR036388	Winged helix-like DNA-binding domain superfamily
      3 IPR034016	Aminopeptidase N-type
      3 IPR031248	E3 ubiquitin-protein ligase RNF213
      3 IPR030564	Myotubularin family
      3 IPR029020	Ammonium/urea transporter
      3 IPR027401	Myosin IQ motif-containing domain superfamily
      3 IPR026983	Dynein heavy chain
      3 IPR025875	Leucine rich repeat 4
      3 IPR024041	Ammonium transporter AmtB-like domain
      3 IPR023298	P-type ATPase, transmembrane domain superfamily
      3 IPR021040	LRRC8, pannexin-like TM region
      3 IPR020864	Membrane attack complex component/perforin (MACPF) domain
      3 IPR019748	FERM central domain
      3 IPR017984	Chromo domain subgroup
      3 IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain
      3 IPR016650	Eukaryotic translation initiation factor 3 subunit E
      3 IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
      3 IPR011072	HR1 rho-binding domain
      3 IPR011029	Death-like domain superfamily
      3 IPR010226	NADH-quinone oxidoreductase, chain I
      3 IPR008989	Myosin S1 fragment, N-terminal
      3 IPR008266	Tyrosine-protein kinase, active site
      3 IPR007484	Peptidase M28
      3 IPR006593	Cytochrome b561/ferric reductase transmembrane
      3 IPR006575	RWD domain
      3 IPR006155	Josephin domain
      3 IPR006121	Heavy metal-associated domain, HMA
      3 IPR006020	PTB/PI domain
      3 IPR006016	UspA
      3 IPR005721	Ribosomal protein L22/L17, eukaryotic/archaeal
      3 IPR005375	Ubiquitin-fold modifier 1
      3 IPR005225	Small GTP-binding protein domain
      3 IPR005024	Snf7 family
      3 IPR004932	Retrieval of early ER protein Rer1
      3 IPR004012	RUN domain
      3 IPR003894	TAFH/NHR1
      3 IPR003886	NIDO domain
      3 IPR003595	Protein-tyrosine phosphatase, catalytic
      3 IPR003410	HYR domain
      3 IPR002928	Myosin tail
      3 IPR002893	Zinc finger, MYND-type
      3 IPR002653	Zinc finger, A20-type
      3 IPR002413	Venom allergen 5-like
      3 IPR002401	Cytochrome P450, E-class, group I
      3 IPR002017	Spectrin repeat
      3 IPR001998	Xylose isomerase
      3 IPR001834	NADH:cytochrome b5 reductase-like
      3 IPR001766	Fork head domain
      3 IPR001662	Elongation factor 1B gamma, C-terminal
      3 IPR001478	PDZ domain
      3 IPR001382	Glycoside hydrolase family 47
      3 IPR001304	C-type lectin-like
      3 IPR001055	Adrenodoxin
      3 IPR001041	2Fe-2S ferredoxin-type iron-sulfur binding domain
      3 IPR000980	SH2 domain
      3 IPR000885	Fibrillar collagen, C-terminal
      3 IPR000717	Proteasome component (PCI) domain
      3 IPR000536	Nuclear hormone receptor, ligand-binding domain
      3 IPR000426	Proteasome alpha-subunit, N-terminal domain
      3 IPR000409	BEACH domain
      3 IPR000387	Tyrosine specific protein phosphatases domain
      3 IPR000299	FERM domain
      3 IPR000195	Rab-GTPase-TBC domain
      3 IPR000175	Sodium:neurotransmitter symporter
      3 IPR000095	CRIB domain
      3 IPR000010	Cystatin domain
      2 IPR043502	DNA/RNA polymerase superfamily
      2 IPR043128	Reverse transcriptase/Diguanylate cyclase domain
      2 IPR041679	DNA2/NAM7 helicase-like, C-terminal
      2 IPR041667	Cupin-like domain 8
      2 IPR040251	Protein transport protein SEC31-like
      2 IPR040055	28S ribosomal protein S10, mitochondrial
      2 IPR040047	Syndetin
      2 IPR039872	Uncharacterized protein KIAA0513
      2 IPR039867	Protein furry/Tao3/Mor2
      2 IPR039707	Macrophage-expressed gene 1 protein
      2 IPR039655	HMG box-containing protein 1
      2 IPR039297	Cytochrome c oxidase subunit VII
      2 IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain
      2 IPR038081	CalX-like domain superfamily
      2 IPR037249	TAFH/NHR1 domain superfamily
      2 IPR037213	RUN domain superfamily
      2 IPR036964	Ras guanine-nucleotide exchange factor catalytic domain superfamily
      2 IPR036873	Rhodanese-like domain superfamily
      2 IPR036870	Ribosomal protein S18 superfamily
      2 IPR036854	Photosystem II protein D1/D2 superfamily
      2 IPR036846	GM2-AP, lipid-recognition domain superfamily
      2 IPR036812	NADP-dependent oxidoreductase domain superfamily
      2 IPR036790	Frizzled cysteine-rich domain superfamily
      2 IPR036772	SRCR-like domain superfamily
      2 IPR036734	Neurotransmitter-gated ion-channel ligand-binding domain superfamily
      2 IPR036566	Pyrimidine nucleoside phosphorylase-like, C-terminal domain superfamily
      2 IPR036480	Carbamoyl-phosphate synthase small subunit, N-terminal domain superfamily
      2 IPR036433	Elongation factor EF1B gamma, C-terminal domain superfamily
      2 IPR036394	Ribosomal protein L22/L17 superfamily
      2 IPR036376	Ribulose bisphosphate carboxylase, large subunit, C-terminal domain superfamily
      2 IPR036372	BEACH domain superfamily
      2 IPR036364	SEA domain superfamily
      2 IPR036361	SAP domain superfamily
      2 IPR036356	Endoplasmic reticulum resident protein 29, C-terminal domain superfamily
      2 IPR036317	Cullin homology domain superfamily
      2 IPR036282	Glutathione S-transferase, C-terminal domain superfamily
      2 IPR036128	Plus3-like superfamily
      2 IPR036058	Kazal domain superfamily
      2 IPR036055	LDL receptor-like superfamily
      2 IPR036034	PDZ superfamily
      2 IPR036020	WW domain superfamily
      2 IPR035994	Nucleoside phosphorylase superfamily
      2 IPR035963	FERM superfamily, second domain
      2 IPR035901	GIY-YIG endonuclease superfamily
      2 IPR035899	Dbl homology (DH) domain superfamily
      2 IPR035893	PurE domain superfamily
      2 IPR035699	Dynein heavy chain, hydrolytic ATP-binding dynein motor region
      2 IPR035500	Nuclear hormone receptor-like domain superfamily
      2 IPR034596	39S ribosomal protein L52, mitochondrial
      2 IPR034211	PUF60, RNA recognition motif 2
      2 IPR034209	PUF60, RNA recognition motif 1
      2 IPR034102	Small nuclear ribonucleoprotein D1
      2 IPR033214	A-kinase-interacting protein 1
      2 IPR031365	Protein of unknown function with motif GDWWSH
      2 IPR030659	SecY conserved site
      2 IPR030398	DG-type SEA domain
      2 IPR030379	Septin-type guanine nucleotide-binding (G) domain
      2 IPR029309	Calcium-responsive transcription factor
      2 IPR029071	Ubiquitin-like domain superfamily
      2 IPR029070	Chitinase insertion domain superfamily
      2 IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
      2 IPR029062	Class I glutamine amidotransferase-like
      2 IPR029055	Nucleophile aminohydrolases, N-terminal
      2 IPR029047	Heat shock protein 70kD, peptide-binding domain superfamily
      2 IPR029000	Cyclophilin-like domain superfamily
      2 IPR028889	Ubiquitin specific protease domain
      2 IPR028565	Mu homology domain
      2 IPR028507	Thrombospondin-3
      2 IPR028226	Protein LIN37
      2 IPR028133	Dynamitin
      2 IPR027878	Protein of unknown function DUF4551
      2 IPR027640	Kinesin-like protein
      2 IPR027312	Sda1
      2 IPR027141	Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3
      2 IPR026682	Proline-rich AKT1 substrate 1 protein
      2 IPR026669	Arsenite methyltransferase-like
      2 IPR026156	Folliculin-interacting protein family
      2 IPR026082	ABC transporter A
      2 IPR025258	Putative zinc-RING and/or ribbon
      2 IPR024989	Major facilitator superfamily associated domain
      2 IPR024964	CTLH/CRA C-terminal to LisH motif domain
      2 IPR024079	Metallopeptidase, catalytic domain superfamily
      2 IPR023753	FAD/NAD(P)-binding domain
      2 IPR023578	Ras guanine nucleotide exchange factor domain superfamily
      2 IPR023574	Ribosomal protein L4 domain superfamily
      2 IPR023299	P-type ATPase, cytoplasmic domain N
      2 IPR023210	NADP-dependent oxidoreductase domain
      2 IPR023201	SecY domain superfamily
      2 IPR023005	Nucleoside diphosphate kinase, active site
      2 IPR022953	ATP-dependent 6-phosphofructokinase
      2 IPR022761	Fumarate lyase, N-terminal
      2 IPR022712	Beta-Casp domain
      2 IPR022495	Serine/threonine-protein kinase Bud32
      2 IPR022414	ATP:guanido phosphotransferase, catalytic domain
      2 IPR022165	Polo kinase kinase
      2 IPR021133	HEAT, type 2
      2 IPR021109	Aspartic peptidase domain superfamily
      2 IPR020904	Short-chain dehydrogenase/reductase, conserved site
      2 IPR020581	Glycine cleavage system P protein
      2 IPR019749	Band 4.1 domain
      2 IPR019559	Cullin protein, neddylation domain
      2 IPR019440	Chromatid cohesion factor MAU2
      2 IPR019366	Clusterin-associated protein-1
      2 IPR019010	Eukaryotic translation initiation factor 3 subunit E, N-terminal
      2 IPR018936	Phosphatidylinositol 3/4-kinase, conserved site
      2 IPR018627	Elongator complex protein 6
      2 IPR018499	Tetraspanin/Peripherin
      2 IPR018170	Aldo/keto reductase, conserved site
      2 IPR018159	Spectrin/alpha-actinin
      2 IPR017937	Thioredoxin, conserved site
      2 IPR017907	Zinc finger, RING-type, conserved site
      2 IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
      2 IPR017865	F-actin capping protein, alpha subunit, conserved site
      2 IPR017853	Glycoside hydrolase superfamily
      2 IPR016543	Mitochondria fission 1 protein
      2 IPR016488	NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex, subunit 6
      2 IPR016201	PSI domain
      2 IPR016135	Ubiquitin-conjugating enzyme/RWD-like
      2 IPR015433	Phosphatidylinositol kinase
      2 IPR015008	ROCK, Rho binding domain
      2 IPR014782	Peptidase M1, membrane alanine aminopeptidase
      2 IPR014352	FERM/acyl-CoA-binding protein superfamily
      2 IPR014186	S-formylglutathione hydrolase
      2 IPR014034	Ferritin, conserved site
      2 IPR013866	Sphingolipid delta4-desaturase, N-terminal
      2 IPR013822	Signal recognition particle SRP54, helical bundle
      2 IPR013809	ENTH  domain
      2 IPR013535	PUL domain
      2 IPR013177	Domain of unknown function DUF1713
      2 IPR013126	Heat shock protein 70 family
      2 IPR013102	Pyrimidine nucleoside phosphorylase, C-terminal
      2 IPR012716	T-complex protein 1, beta subunit
      2 IPR012317	Poly(ADP-ribose) polymerase, catalytic domain
      2 IPR011701	Major facilitator superfamily
      2 IPR011679	Endoplasmic reticulum resident protein 29, C-terminal
      2 IPR011388	Sphingolipid delta4-desaturase
      2 IPR011249	Metalloenzyme, LuxS/M16 peptidase-like
      2 IPR011124	Zinc finger, CW-type
      2 IPR011042	Six-bladed beta-propeller, TolB-like
      2 IPR010920	LSM domain superfamily
      2 IPR010516	Sin3 associated polypeptide p18
      2 IPR009635	Neural proliferation differentiation control-1
      2 IPR009078	Ferritin-like superfamily
      2 IPR009018	Signal recognition particle, SRP9/SRP14 subunit
      2 IPR008996	Cytokine IL1/FGF
      2 IPR008978	HSP20-like chaperone
      2 IPR008948	L-Aspartase-like
      2 IPR008942	ENTH/VHS
      2 IPR008937	Ras-like guanine nucleotide exchange factor
      2 IPR008907	P25-alpha
      2 IPR008814	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1
      2 IPR008699	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8
      2 IPR008521	Magnesium transporter NIPA
      2 IPR007884	DREV methyltransferase
      2 IPR007783	Eukaryotic translation initiation factor 3 subunit D
      2 IPR007763	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
      2 IPR007502	Helicase-associated domain
      2 IPR007231	Nucleoporin interacting component Nup93/Nic96
      2 IPR007125	Histone H2A/H2B/H3
      2 IPR007052	CS domain
      2 IPR007000	Phospholipase B-like
      2 IPR006966	Peroxin-3
      2 IPR006885	NADH dehydrogenase ubiquinone Fe-S protein 4, mitochondrial
      2 IPR006822	Coatomer, epsilon subunit
      2 IPR006816	ELMO domain
      2 IPR006802	Radial spokehead-like protein
      2 IPR006777	Minor spike protein
      2 IPR006722	Trafficking protein particle complex subunit 2
      2 IPR006595	CTLH, C-terminal LisH motif
      2 IPR006539	P-type ATPase, subfamily IV
      2 IPR005867	Photosystem II protein D1
      2 IPR005817	Wnt
      2 IPR005788	Disulphide isomerase
      2 IPR005677	Fumarate hydratase, class II
      2 IPR005522	Inositol polyphosphate kinase
      2 IPR004856	Glycosyl transferase, ALG6/ALG8
      2 IPR004835	Chitin synthase
      2 IPR004686	Tricarboxylate/iron carrier
      2 IPR004343	Plus-3 domain
      2 IPR004226	Tubulin binding cofactor A
      2 IPR004165	Coenzyme A transferase family I
      2 IPR004045	Glutathione S-transferase, N-terminal
      2 IPR003817	Phosphatidylserine decarboxylase-related
      2 IPR003652	Ataxin, AXH domain
      2 IPR003210	Signal recognition particle, SRP14 subunit
      2 IPR003172	MD-2-related lipid-recognition domain
      2 IPR003152	FATC domain
      2 IPR003114	Phox-associated domain
      2 IPR003034	SAP domain
      2 IPR002913	START domain
      2 IPR002509	NodB homology domain
      2 IPR002474	Carbamoyl-phosphate synthase small subunit, N-terminal domain
      2 IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
      2 IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain
      2 IPR002077	Voltage-dependent calcium channel, alpha-1 subunit
      2 IPR001904	Paxillin
      2 IPR001650	Helicase, C-terminal
      2 IPR001619	Sec1-like protein
      2 IPR001605	Pleckstrin homology domain, spectrin-type
      2 IPR001503	Glycosyl transferase family 10
      2 IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
      2 IPR001373	Cullin, N-terminal
      2 IPR001254	Serine proteases, trypsin domain
      2 IPR001128	Cytochrome P450
      2 IPR001104	3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal
      2 IPR001063	Ribosomal protein L22/L17
      2 IPR000953	Chromo/chromo shadow domain
      2 IPR000897	Signal recognition particle, SRP54 subunit, GTPase domain
      2 IPR000868	Isochorismatase-like
      2 IPR000863	Sulfotransferase domain
      2 IPR000819	Peptidase M17, leucyl aminopeptidase, C-terminal
      2 IPR000798	Ezrin/radixin/moesin-like
      2 IPR000648	Oxysterol-binding protein
      2 IPR000640	Elongation factor EFG, domain V-like
      2 IPR000569	HECT domain
      2 IPR000362	Fumarate lyase family
      2 IPR000358	Ribonucleotide reductase small subunit family
      2 IPR000305	GIY-YIG endonuclease
      2 IPR000082	SEA domain
      2 IPR000031	PurE domain
      1 IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold
      1 IPR043162	Dedicator of cytokinesis, C-terminal, lobe C
      1 IPR043160	Dynein heavy chain, C-terminal domain, barrel region
      1 IPR043157	Dynein heavy chain, AAA1 domain, small subdomain
      1 IPR043129	ATPase, nucleotide binding domain
      1 IPR043127	Sec1-like, domain 3a
      1 IPR043041	Phospholipase B-like, domain 2
      1 IPR042990	StAR-related lipid transfer protein 9
      1 IPR042862	RING finger protein 32
      1 IPR042815	Dynein regulatory complex protein 10
      1 IPR042534	Sin3 associated polypeptide p18 superfamily
      1 IPR042489	F-actin capping protein, alpha subunit, domain 1
      1 IPR042350	All-trans retinoic acid-induced differentiation factor
      1 IPR042276	F-actin-capping protein subunit alpha/beta, domain 2
      1 IPR042232	Choline/Carnitine o-acyltransferase, domain 1
      1 IPR042222	Dynein heavy chain, domain 2, N-terminal
      1 IPR042219	Dynein heavy chain AAA lid domain superfamily
      1 IPR042178	Serpin superfamily, domain 1
      1 IPR042101	Signal recognition particle SRP54, N-terminal domain superfamily
      1 IPR042099	AMP-dependent synthetase-like superfamily
      1 IPR041782	PTPN14/21, FERM domain C-lobe
      1 IPR041681	Pleckstrin homology domain 9
      1 IPR041677	DNA2/NAM7 helicase, helicase domain
      1 IPR041658	Dynein heavy chain AAA lid domain
      1 IPR041637	Caprin-1 dimerization domain
      1 IPR041569	AAA ATPase, AAA+ lid domain
      1 IPR041466	Dynein heavy chain, AAA 5 extension domain
      1 IPR041228	Dynein heavy chain, C-terminal domain
      1 IPR041006	Morc, S5 domain 2-like
      1 IPR040520	Importin 13 repeat
      1 IPR040398	CCR4-NOT transcription complex subunit 1
      1 IPR040370	Coiled-coil domain-containing protein 74A/74B/92
      1 IPR040325	RIMS-binding protein 1/2/3
      1 IPR040234	Glutaminyl-peptide cyclotransferase-like
      1 IPR040213	GIR2-like
